Entity;Code;Year;Total food expenditure
Algeria;DZA;2017;651,20
Algeria;DZA;2018;645,60
Algeria;DZA;2019;556,08
Algeria;DZA;2020;520,06
Algeria;DZA;2021;614,00
Angola;AGO;2017;1144,60
Angola;AGO;2018;893,60
Angola;AGO;2019;451,05
Angola;AGO;2020;513,13
Angola;AGO;2021;657,61
Argentina;ARG;2017;2715,90
Argentina;ARG;2018;2139,80
Argentina;ARG;2019;859,24
Argentina;ARG;2020;1090,92
Argentina;ARG;2021;1494,69
Australia;AUS;2017;3016,00
Australia;AUS;2018;3003,60
Australia;AUS;2019;2546,84
Australia;AUS;2020;2722,48
Australia;AUS;2021;3239,44
Austria;AUT;2017;2434,60
Austria;AUT;2018;2618,20
Austria;AUT;2019;2291,10
Austria;AUT;2020;2085,37
Austria;AUT;2021;2987,65
Azerbaijan;AZE;2017;943,70
Azerbaijan;AZE;2018;989,60
Azerbaijan;AZE;2019;1093,24
Azerbaijan;AZE;2020;1055,45
Azerbaijan;AZE;2021;1223,55
Bahrain;BHR;2017;1576,30
Bahrain;BHR;2018;1674,10
Bahrain;BHR;2019;1230,58
Bahrain;BHR;2020;1140,04
Bahrain;BHR;2021;1239,19
Bangladesh;BGD;2017;546,70
Bangladesh;BGD;2018;611,90
Bangladesh;BGD;2019;649,30
Bangladesh;BGD;2020;723,73
Bangladesh;BGD;2021;791,20
Belarus;BLR;2017;1025,40
Belarus;BLR;2018;1090,40
Belarus;BLR;2019;923,09
Belarus;BLR;2020;1014,71
Belarus;BLR;2021;1179,26
Belgium;BEL;2017;2834,20
Belgium;BEL;2018;3034,70
Belgium;BEL;2019;2694,37
Belgium;BEL;2020;2454,30
Belgium;BEL;2021;3260,38
Bolivia;BOL;2017;667,50
Bolivia;BOL;2018;696,30
Bolivia;BOL;2019;649,13
Bolivia;BOL;2020;602,91
Bolivia;BOL;2021;659,97
Bosnia and Herzegovina;BIH;2017;1282,70
Bosnia and Herzegovina;BIH;2018;1403,80
Bosnia and Herzegovina;BIH;2019;1227,27
Bosnia and Herzegovina;BIH;2020;1205,55
Bosnia and Herzegovina;BIH;2021;1421,53
Brazil;BRA;2017;954,60
Brazil;BRA;2018;866,30
Brazil;BRA;2019;599,64
Brazil;BRA;2020;655,79
Brazil;BRA;2021;722,07
Bulgaria;BGR;2017;1008,80
Bulgaria;BGR;2018;1172,10
Bulgaria;BGR;2019;1038,90
Bulgaria;BGR;2020;1123,28
Bulgaria;BGR;2021;1338,85
Cambodia;KHM;2017;468,90
Cambodia;KHM;2018;500,20
Cambodia;KHM;2019;495,77
Cambodia;KHM;2020;457,17
Cambodia;KHM;2021;546,45
Cameroon;CMR;2017;453,20
Cameroon;CMR;2018;501,30
Cameroon;CMR;2019;469,01
Cameroon;CMR;2020;456,22
Cameroon;CMR;2021;540,96
Canada;CAN;2017;2291,30
Canada;CAN;2018;2350,90
Canada;CAN;2019;2098,34
Canada;CAN;2020;2294,06
Canada;CAN;2021;2766,51
Chile;CHL;2017;1521,10
Chile;CHL;2018;1613,50
Chile;CHL;2019;1275,61
Chile;CHL;2020;1230,27
Chile;CHL;2021;1806,71
China;CHN;2017;737,00
China;CHN;2018;814,50
China;CHN;2019;743,22
China;CHN;2020;882,55
China;CHN;2021;933,80
Colombia;COL;2017;827,40
Colombia;COL;2018;869,20
Colombia;COL;2019;561,55
Colombia;COL;2020;555,18
Colombia;COL;2021;806,69
Costa Rica;CRI;2017;2109,10
Costa Rica;CRI;2018;2143,00
Costa Rica;CRI;2019;2220,02
Costa Rica;CRI;2020;2211,12
Costa Rica;CRI;2021;2656,43
Cote d'Ivoire;CIV;2017;424,20
Cote d'Ivoire;CIV;2018;452,90
Cote d'Ivoire;CIV;2019;598,86
Cote d'Ivoire;CIV;2020;592,97
Cote d'Ivoire;CIV;2021;673,49
Croatia;HRV;2017;2290,40
Croatia;HRV;2018;2564,70
Croatia;HRV;2019;1699,27
Croatia;HRV;2020;1762,25
Croatia;HRV;2021;2256,28
Czechia;CZE;2017;1610,70
Czechia;CZE;2018;1835,80
Czechia;CZE;2019;1568,25
Czechia;CZE;2020;1630,19
Czechia;CZE;2021;1947,30
Denmark;DNK;2017;3004,20
Denmark;DNK;2018;3220,00
Denmark;DNK;2019;2806,45
Denmark;DNK;2020;3019,41
Denmark;DNK;2021;3727,23
Dominican Republic;DOM;2017;1450,70
Dominican Republic;DOM;2018;1508,70
Dominican Republic;DOM;2019;1416,30
Dominican Republic;DOM;2020;1438,49
Dominican Republic;DOM;2021;1674,05
Ecuador;ECU;2017;995,20
Ecuador;ECU;2018;1015,60
Ecuador;ECU;2019;889,77
Ecuador;ECU;2020;814,79
Ecuador;ECU;2021;984,15
Egypt;EGY;2017;595,10
Egypt;EGY;2018;684,90
Egypt;EGY;2019;1025,60
Egypt;EGY;2020;1239,99
Egypt;EGY;2021;1369,14
El Salvador;SLV;2017;890,80
El Salvador;SLV;2018;922,20
El Salvador;SLV;2019;839,16
El Salvador;SLV;2020;742,21
El Salvador;SLV;2021;1034,89
Estonia;EST;2017;2069,70
Estonia;EST;2018;2317,70
Estonia;EST;2019;2075,14
Estonia;EST;2020;2199,60
Estonia;EST;2021;2621,40
Ethiopia;ETH;2017;254,90
Ethiopia;ETH;2018;257,40
Ethiopia;ETH;2019;174,16
Ethiopia;ETH;2020;233,76
Ethiopia;ETH;2021;244,73
Finland;FIN;2017;2736,70
Finland;FIN;2018;2908,70
Finland;FIN;2019;2563,42
Finland;FIN;2020;2809,49
Finland;FIN;2021;3137,76
France;FRA;2017;2786,40
France;FRA;2018;2983,40
France;FRA;2019;2658,65
France;FRA;2020;2846,28
France;FRA;2021;3234,39
Georgia;GEO;2017;876,90
Georgia;GEO;2018;922,50
Georgia;GEO;2019;1001,72
Georgia;GEO;2020;1138,66
Georgia;GEO;2021;1388,45
Germany;DEU;2017;2379,60
Germany;DEU;2018;2562,90
Germany;DEU;2019;2267,84
Germany;DEU;2020;2317,75
Germany;DEU;2021;2897,04
Ghana;GHA;2017;576,80
Ghana;GHA;2018;627,00
Ghana;GHA;2019;505,22
Ghana;GHA;2020;566,20
Ghana;GHA;2021;648,25
Greece;GRC;2017;2333,40
Greece;GRC;2018;2510,60
Greece;GRC;2019;2111,11
Greece;GRC;2020;2325,74
Greece;GRC;2021;2489,99
Guatemala;GTM;2017;1601,90
Guatemala;GTM;2018;1662,50
Guatemala;GTM;2019;1386,83
Guatemala;GTM;2020;1365,01
Guatemala;GTM;2021;1484,97
Honduras;HND;2017;614,30
Honduras;HND;2018;645,90
Honduras;HND;2019;507,02
Honduras;HND;2020;477,04
Honduras;HND;2021;712,10
Hong Kong;HKG;2017;4635,20
Hong Kong;HKG;2018;5002,20
Hong Kong;HKG;2019;4318,87
Hong Kong;HKG;2020;4181,52
Hong Kong;HKG;2021;3671,54
Hungary;HUN;2017;1306,80
Hungary;HUN;2018;1449,40
Hungary;HUN;2019;1170,92
Hungary;HUN;2020;1282,08
Hungary;HUN;2021;1596,85
India;IND;2017;355,20
India;IND;2018;372,20
India;IND;2019;337,50
India;IND;2020;325,86
India;IND;2021;446,47
Indonesia;IDN;2017;693,10
Indonesia;IDN;2018;696,50
Indonesia;IDN;2019;700,93
Indonesia;IDN;2020;693,17
Indonesia;IDN;2021;799,23
Iran;IRN;2017;761,40
Iran;IRN;2018;657,90
Iran;IRN;2019;846,14
Iran;IRN;2020;1109,27
Iran;IRN;2021;2188,11
Iraq;IRQ;2017;765,40
Iraq;IRQ;2018;739,50
Iraq;IRQ;2019;806,43
Iraq;IRQ;2020;759,77
Iraq;IRQ;2021;578,28
Ireland;IRL;2017;1972,90
Ireland;IRL;2018;2098,70
Ireland;IRL;2019;1778,84
Ireland;IRL;2020;1919,04
Ireland;IRL;2021;2147,79
Israel;ISR;2017;3501,60
Israel;ISR;2018;3611,80
Israel;ISR;2019;3373,92
Israel;ISR;2020;3008,41
Israel;ISR;2021;3996,60
Italy;ITA;2017;2806,60
Italy;ITA;2018;2986,90
Italy;ITA;2019;2710,36
Italy;ITA;2020;2820,45
Italy;ITA;2021;3168,33
Japan;JPN;2017;3304,70
Japan;JPN;2018;3417,50
Japan;JPN;2019;3116,24
Japan;JPN;2020;3038,46
Japan;JPN;2021;3458,91
Jordan;JOR;2017;1059,90
Jordan;JOR;2018;1091,10
Jordan;JOR;2019;790,91
Jordan;JOR;2020;783,23
Jordan;JOR;2021;926,49
Kazakhstan;KAZ;2017;2059,30
Kazakhstan;KAZ;2018;2144,30
Kazakhstan;KAZ;2019;2102,31
Kazakhstan;KAZ;2020;2217,43
Kazakhstan;KAZ;2021;2554,15
Kenya;KEN;2017;646,60
Kenya;KEN;2018;729,40
