Entity;Code;Year;15.2.1 - Proportion of forest area within legally established protected areas (%) - AG_LND_FRSTPRCT
Africa (UN);;2000;23.37
Africa (UN);;2010;24.1
Africa (UN);;2015;25.77
Africa (UN);;2016;25.77
Africa (UN);;2017;25.76
Africa (UN);;2018;25.76
Africa (UN);;2019;25.61
Africa (UN);;2020;25.73
Algeria;DZA;2000;6.08
Algeria;DZA;2010;6.08
Algeria;DZA;2015;6.08
Algeria;DZA;2016;6.08
Algeria;DZA;2017;6.08
Algeria;DZA;2018;6.08
Algeria;DZA;2019;6.08
Algeria;DZA;2020;6.08
American Samoa;ASM;2000;14.87
American Samoa;ASM;2010;14.99
American Samoa;ASM;2015;14.99
American Samoa;ASM;2016;14.99
American Samoa;ASM;2017;14.99
American Samoa;ASM;2018;14.99
American Samoa;ASM;2019;14.99
American Samoa;ASM;2020;14.99
Andorra;AND;2018;12.5
Angola;AGO;2000;2.68
Angola;AGO;2010;2.68
Angola;AGO;2015;2.68
Angola;AGO;2016;2.68
Angola;AGO;2017;2.68
Angola;AGO;2018;2.68
Angola;AGO;2019;2.68
Angola;AGO;2020;2.68
Argentina;ARG;2000;5.97
Argentina;ARG;2010;6
Argentina;ARG;2015;6.38
Argentina;ARG;2016;6.38
Argentina;ARG;2017;6.38
Argentina;ARG;2018;6.63
Argentina;ARG;2019;6.63
Argentina;ARG;2020;6.63
Asia (UN);;2000;19.29
Asia (UN);;2010;24.05
Asia (UN);;2015;24.76
Asia (UN);;2016;25.01
Asia (UN);;2017;25.25
Asia (UN);;2018;25.29
Asia (UN);;2019;25.32
Asia (UN);;2020;25.37
Australia;AUS;2000;13.22
Australia;AUS;2010;16.73
Australia;AUS;2015;17.96
Australia;AUS;2016;18.09
Australia;AUS;2017;18.09
Australia;AUS;2018;18.09
Australia;AUS;2019;18.09
Australia;AUS;2020;18.09
Austria;AUT;2010;18.78
Austria;AUT;2015;21.96
Austria;AUT;2016;22.18
Austria;AUT;2017;22.41
Austria;AUT;2018;22.63
Austria;AUT;2019;22.63
Austria;AUT;2020;22.63
Azerbaijan;AZE;2000;34.42
Azerbaijan;AZE;2010;34.42
Azerbaijan;AZE;2015;34.42
Azerbaijan;AZE;2016;34.42
Azerbaijan;AZE;2017;34.42
Azerbaijan;AZE;2018;34.42
Azerbaijan;AZE;2019;34.42
Azerbaijan;AZE;2020;34.42
Bangladesh;BGD;2000;32.83
Bangladesh;BGD;2010;32.83
Bangladesh;BGD;2015;32.83
Bangladesh;BGD;2016;32.83
Bangladesh;BGD;2017;32.83
Bangladesh;BGD;2018;32.83
Bangladesh;BGD;2019;32.83
Bangladesh;BGD;2020;32.83
Barbados;BRB;2010;4.76
Barbados;BRB;2015;4.76
Barbados;BRB;2016;4.76
Barbados;BRB;2017;4.76
Barbados;BRB;2018;4.76
Barbados;BRB;2019;4.76
Barbados;BRB;2020;4.76
Belarus;BLR;2000;5.64
Belarus;BLR;2010;12.67
Belarus;BLR;2015;12.93
Belarus;BLR;2016;13.2
